timestamp,open,high,low,close
2018-09-07,1.1624,1.1649,1.1549,1.1552
2018-09-06,1.1632,1.1659,1.1604,1.1624
2018-09-05,1.1583,1.164,1.1542,1.1632
2018-09-04,1.1617,1.1618,1.1529,1.1583
2018-09-03,1.1597,1.1628,1.1588,1.1617
2018-09-02,1.1595,1.1608,1.1587,1.1597
2018-08-31,1.1663,1.169,1.1583,1.1599
2018-08-30,1.1706,1.1718,1.1639,1.1663
2018-08-29,1.1695,1.171,1.1651,1.1706
2018-08-28,1.1681,1.1733,1.1661,1.1693
2018-08-27,1.1628,1.1694,1.1593,1.168
2018-08-26,1.163,1.163,1.161,1.1628
2018-08-24,1.154,1.164,1.1537,1.1621
2018-08-23,1.1597,1.1598,1.1528,1.154
2018-08-22,1.1574,1.1623,1.1552,1.1597
2018-08-21,1.1492,1.1601,1.1484,1.1574
2018-08-20,1.1438,1.1492,1.1393,1.1492
2018-08-19,1.1436,1.1441,1.1431,1.1438
2018-08-17,1.1374,1.1445,1.1364,1.1437
2018-08-16,1.1345,1.1409,1.1334,1.1374
2018-08-15,1.135,1.1355,1.13,1.1345
2018-08-14,1.1405,1.1429,1.1329,1.135
2018-08-13,1.1398,1.1433,1.1364,1.1405
2018-08-12,1.1386,1.14,1.1367,1.1398
2018-08-10,1.1521,1.1537,1.1386,1.1412
2018-08-09,1.1612,1.162,1.1518,1.152
2018-08-08,1.16,1.1628,1.1571,1.1612
2018-08-07,1.1556,1.1608,1.1549,1.16
2018-08-06,1.1561,1.157,1.1528,1.1556
2018-08-05,1.1565,1.1572,1.1559,1.1561
2018-08-03,1.1586,1.1611,1.1559,1.1565
2018-08-02,1.1663,1.1668,1.158,1.1585
2018-08-01,1.1686,1.17,1.1656,1.1663
2018-07-31,1.1708,1.1746,1.1682,1.1686
2018-07-30,1.166,1.172,1.1646,1.1708
2018-07-29,1.1657,1.1662,1.165,1.166
2018-07-27,1.1641,1.1664,1.1619,1.1659
2018-07-26,1.1731,1.1744,1.1636,1.1641
2018-07-25,1.1682,1.1739,1.1663,1.1731
2018-07-24,1.1691,1.1717,1.1653,1.1682
2018-07-23,1.1734,1.1751,1.1682,1.1691
2018-07-22,1.1722,1.1735,1.172,1.1734
2018-07-20,1.1645,1.1739,1.1625,1.1718
2018-07-19,1.1643,1.1679,1.1574,1.1644
2018-07-18,1.1658,1.1665,1.16,1.1643
2018-07-17,1.171,1.1745,1.1649,1.1658
2018-07-16,1.1683,1.1725,1.1674,1.171
2018-07-15,1.1682,1.1692,1.1677,1.1683
2018-07-13,1.1664,1.1687,1.1611,1.1684
2018-07-12,1.1676,1.1696,1.1648,1.1664
2018-07-11,1.1736,1.176,1.1664,1.1676
2018-07-10,1.175,1.1763,1.1689,1.1736
2018-07-09,1.175,1.1791,1.1731,1.1749
2018-07-08,1.1743,1.1754,1.1735,1.175
2018-07-06,1.1691,1.1768,1.1679,1.1746
2018-07-05,1.1659,1.172,1.1648,1.1691
2018-07-04,1.166,1.1682,1.1628,1.1659
2018-07-03,1.164,1.1673,1.1619,1.1659
2018-07-02,1.1674,1.1682,1.159,1.1639
2018-07-01,1.1651,1.1691,1.1629,1.1674
2018-06-29,1.1564,1.169,1.156,1.1684
2018-06-28,1.1559,1.1601,1.1526,1.1564
2018-06-27,1.165,1.1672,1.1539,1.156
2018-06-26,1.1702,1.1721,1.1634,1.165
2018-06-25,1.1669,1.1713,1.1627,1.1702
2018-06-24,1.1657,1.1669,1.1654,1.1669
2018-06-22,1.161,1.1675,1.1598,1.1654
2018-06-21,1.1575,1.1634,1.1507,1.1609
2018-06-20,1.1588,1.16,1.1536,1.1577
2018-06-19,1.1621,1.1644,1.153,1.1588
2018-06-18,1.1595,1.1627,1.1564,1.1621
2018-06-17,1.1606,1.161,1.1583,1.1595
2018-06-15,1.1583,1.1627,1.1542,1.1609
2018-06-14,1.1799,1.1852,1.1562,1.1582
2018-06-13,1.1746,1.1803,1.1725,1.1799
2018-06-12,1.1775,1.181,1.1732,1.1746
2018-06-11,1.1771,1.1821,1.1769,1.1775
2018-06-10,1.1764,1.1777,1.1752,1.1771
2018-06-08,1.1797,1.181,1.1725,1.1768
2018-06-07,1.1782,1.184,1.1777,1.1797
2018-06-06,1.172,1.1796,1.1711,1.1782
2018-06-05,1.1699,1.1732,1.1651,1.172
2018-06-04,1.1662,1.1744,1.1661,1.1699
2018-06-03,1.1654,1.1669,1.1651,1.1662
2018-06-01,1.1705,1.1718,1.1616,1.1659
2018-05-31,1.1665,1.1724,1.164,1.1705
2018-05-30,1.1541,1.1676,1.1517,1.1664
2018-05-29,1.1626,1.164,1.1509,1.1541
2018-05-28,1.1689,1.173,1.1605,1.1626
2018-05-27,1.1654,1.1691,1.1648,1.1689
2018-05-25,1.1721,1.1734,1.1644,1.165
2018-05-24,1.1705,1.175,1.1689,1.1721
2018-05-23,1.1782,1.179,1.1674,1.1704
2018-05-22,1.1795,1.183,1.1755,1.1782
2018-05-21,1.1766,1.1797,1.1715,1.1795
2018-05-20,1.176,1.1779,1.176,1.1766
2018-05-18,1.1797,1.1822,1.1749,1.177
2018-05-17,1.1816,1.1837,1.1775,1.1797
2018-05-16,1.1818,1.1854,1.1762,1.1815
2018-05-15,1.1928,1.194,1.1816,1.1818
2018-05-14,1.1947,1.1996,1.192,1.1928
2018-05-13,1.1944,1.195,1.1937,1.1947
2018-05-11,1.1918,1.197,1.189,1.1942
2018-05-10,1.1853,1.1947,1.1842,1.1918
2018-05-09,1.1859,1.1897,1.1821,1.1853
2018-05-08,1.1922,1.1939,1.1837,1.186
2018-05-07,1.196,1.1978,1.1896,1.1922
2018-05-06,1.1952,1.1966,1.1946,1.196
2018-05-04,1.1986,1.1996,1.1909,1.1959
2018-05-03,1.1954,1.201,1.1946,1.1986
2018-05-02,1.1989,1.2032,1.1936,1.1954
2018-05-01,1.2081,1.2084,1.1979,1.1989
2018-04-30,1.2121,1.214,1.2062,1.2081
2018-04-29,1.2125,1.213,1.2117,1.2121
2018-04-27,1.2104,1.2133,1.2053,1.2125
2018-04-26,1.2169,1.221,1.2093,1.2104
2018-04-25,1.2233,1.2239,1.2158,1.2169
2018-04-24,1.221,1.2245,1.218,1.2233
2018-04-23,1.228,1.229,1.2196,1.221
2018-04-22,1.2286,1.2288,1.2263,1.2279
2018-04-20,1.2342,1.2353,1.2249,1.2286
2018-04-19,1.2379,1.24,1.2328,1.2342
2018-04-18,1.2372,1.2397,1.2341,1.2379
2018-04-17,1.2382,1.2414,1.2335,1.2372
2018-04-16,1.2329,1.2395,1.2323,1.2381
2018-04-15,1.2327,1.2337,1.2321,1.2328
2018-04-13,1.2329,1.2346,1.2306,1.2328
2018-04-12,1.237,1.238,1.2298,1.2329
2018-04-11,1.2357,1.2396,1.2346,1.237
2018-04-10,1.2322,1.2378,1.2301,1.2356
2018-04-09,1.2274,1.2331,1.2259,1.2321
2018-04-08,1.2278,1.2287,1.2271,1.2274
2018-04-06,1.2244,1.2291,1.2214,1.2283
2018-04-05,1.2285,1.229,1.2217,1.2244
2018-04-04,1.2272,1.2315,1.2255,1.2285
2018-04-03,1.2301,1.2336,1.2252,1.2272
2018-04-02,1.2317,1.2345,1.2281,1.2301
2018-04-01,1.2321,1.233,1.2312,1.2317
2018-03-30,1.2304,1.2331,1.2289,1.2323
2018-03-29,1.2309,1.2336,1.2282,1.2303
2018-03-28,1.2406,1.2422,1.2298,1.2309
2018-03-27,1.2451,1.2476,1.2371,1.2406
2018-03-26,1.2367,1.2462,1.235,1.2451
2018-03-25,1.2348,1.2367,1.2341,1.2367
2018-03-23,1.232,1.2373,1.2315,1.2352
2018-03-22,1.2342,1.239,1.2284,1.2319
2018-03-21,1.2245,1.235,1.2242,1.2342
2018-03-20,1.2335,1.2355,1.2237,1.2245
2018-03-19,1.2285,1.2359,1.2257,1.2335
2018-03-18,1.2283,1.23,1.228,1.2285
2018-03-16,1.2306,1.2336,1.2259,1.2285
2018-03-15,1.2368,1.2384,1.2299,1.2306
2018-03-14,1.2393,1.2413,1.2346,1.2368
2018-03-13,1.2333,1.241,1.2313,1.2392
2018-03-12,1.231,1.2346,1.2289,1.2333
2018-03-11,1.2308,1.2315,1.2305,1.231
2018-03-10,1.2305,1.2305,1.2305,1.2305
2018-03-09,1.2312,1.2334,1.2272,1.2305
2018-03-08,1.241,1.2446,1.2297,1.2313
2018-03-07,1.2421,1.2445,1.2383,1.241
2018-03-06,1.2335,1.2424,1.2327,1.2421
2018-03-05,1.2345,1.235,1.2267,1.2334
2018-03-04,1.2322,1.2364,1.2318,1.2346
2018-03-02,1.2274,1.2336,1.225,1.2317
2018-03-01,1.2192,1.2275,1.2153,1.2274
2018-02-28,1.2235,1.2242,1.2186,1.2192
2018-02-27,1.2312,1.2346,1.222,1.2235
2018-02-26,1.2288,1.2355,1.2276,1.2312
2018-02-25,1.2295,1.2301,1.2281,1.2288
2018-02-23,1.233,1.2337,1.2278,1.2294
2018-02-22,1.2275,1.2352,1.2258,1.233
2018-02-21,1.2335,1.236,1.2272,1.2275
2018-02-20,1.2406,1.2412,1.2319,1.2333
2018-02-19,1.2415,1.2435,1.2367,1.2406
2018-02-18,1.2404,1.2416,1.2394,1.2414
2018-02-16,1.25,1.2556,1.2392,1.2411
2018-02-15,1.2454,1.251,1.2446,1.25
2018-02-14,1.235,1.2465,1.2275,1.2454
2018-02-13,1.2291,1.2371,1.2283,1.235
2018-02-12,1.2252,1.2298,1.2233,1.2291
2018-02-11,1.2252,1.2254,1.2239,1.2252
2018-02-09,1.2247,1.2287,1.2204,1.2251
2018-02-08,1.2254,1.2295,1.221,1.2247
2018-02-07,1.238,1.2406,1.2244,1.2253
2018-02-06,1.2375,1.2435,1.2312,1.238
2018-02-05,1.2431,1.2475,1.2362,1.2375
2018-02-04,1.2452,1.2459,1.2423,1.2431
2018-02-02,1.2505,1.252,1.2408,1.2457
2018-02-01,1.2412,1.2523,1.2384,1.2505
2018-01-31,1.2405,1.2475,1.2386,1.2412
2018-01-30,1.2383,1.2454,1.2334,1.2404
2018-01-29,1.2415,1.2432,1.2335,1.2382
2018-01-28,1.2427,1.2434,1.2411,1.2415
2018-01-26,1.2372,1.2494,1.2372,1.2422
2018-01-25,1.2404,1.2538,1.2363,1.2371
2018-01-24,1.2297,1.2415,1.229,1.2403
2018-01-23,1.226,1.2306,1.2222,1.2297
2018-01-22,1.2259,1.2267,1.2213,1.226
2018-01-21,1.2261,1.2274,1.2254,1.2257
2018-01-19,1.224,1.2295,1.2213,1.222
2018-01-18,1.2165,1.2265,1.2164,1.224
2018-01-17,1.2256,1.2323,1.2164,1.2165
2018-01-16,1.2264,1.2284,1.2194,1.2255
2018-01-15,1.2203,1.2297,1.2186,1.2264
2018-01-14,1.2198,1.2208,1.2186,1.2201
2018-01-12,1.2038,1.2219,1.2029,1.2199
2018-01-11,1.1949,1.206,1.1928,1.2038
2018-01-10,1.1936,1.2018,1.1922,1.1949
2018-01-09,1.1968,1.1976,1.1914,1.1935
2018-01-08,1.2031,1.2052,1.1954,1.1968
2018-01-07,1.2027,1.2036,1.2014,1.2031
2018-01-05,1.2072,1.2083,1.2019,1.2026
2018-01-04,1.2009,1.209,1.2003,1.2071
2018-01-03,1.2057,1.2066,1.2,1.201
2018-01-02,1.2014,1.2081,1.2001,1.2057
2018-01-01,1.2002,1.2017,1.1991,1.2014
2017-12-31,1.1997,1.1997,1.1997,1.1997
2017-12-29,1.1938,1.2026,1.1936,1.1994
2017-12-28,1.1899,1.1959,1.1895,1.1938
2017-12-27,1.1861,1.191,1.1854,1.1898
2017-12-26,1.1871,1.1879,1.1845,1.186
2017-12-25,1.1858,1.1881,1.1842,1.1871
2017-12-24,1.1862,1.1862,1.1858,1.1858
2017-12-22,1.1866,1.1869,1.1816,1.186
2017-12-21,1.1872,1.189,1.1848,1.1866
2017-12-20,1.1841,1.1902,1.1827,1.1872
2017-12-19,1.1783,1.1849,1.1775,1.1842
2017-12-18,1.1746,1.1834,1.1739,1.1783
2017-12-17,1.1749,1.1752,1.1735,1.1745
2017-12-15,1.1765,1.1812,1.1745,1.1749
2017-12-14,1.1826,1.1863,1.1763,1.1765
2017-12-13,1.1736,1.1835,1.1728,1.1826
2017-12-12,1.1772,1.1793,1.1716,1.1736
2017-12-11,1.1769,1.1812,1.1762,1.1773
2017-12-10,1.1766,1.1771,1.1759,1.1769
2017-12-08,1.1776,1.1777,1.1729,1.1769
2017-12-07,1.1803,1.1815,1.1769,1.1775
2017-12-06,1.1828,1.1848,1.1779,1.1803
2017-12-05,1.1868,1.1877,1.1799,1.1828
2017-12-04,1.1869,1.188,1.1828,1.1868
2017-12-03,1.1885,1.1885,1.1848,1.1869
2017-12-01,1.1889,1.194,1.1849,1.1897
2017-11-30,1.185,1.1932,1.1808,1.1889
2017-11-29,1.1847,1.1883,1.1816,1.1849
2017-11-28,1.1899,1.192,1.1826,1.1846
2017-11-27,1.1935,1.1961,1.1889,1.1899
2017-11-26,1.1931,1.1941,1.1918,1.1935
2017-11-24,1.185,1.1944,1.1835,1.1931
2017-11-23,1.1817,1.1856,1.1812,1.185
2017-11-22,1.1733,1.1827,1.1732,1.1818
2017-11-21,1.1734,1.1758,1.1712,1.1733
2017-11-20,1.1765,1.181,1.1721,1.1733
