Date,Open,High,Low,Close,Adj Close,Volume
2014-02-08,0.05,0.07,0.05,0.07,0.07,29
2014-02-09,0.07,0.1,0.07,0.1,0.1,0
2014-02-10,0.1,0.1,0.1,0.1,0.1,0
2014-02-11,0.1,0.1,0.1,0.1,0.1,0
2014-02-12,0.1,0.1,0.1,0.1,0.1,0
2014-02-13,0.1,0.25,0.1,0.25,0.25,50
2014-02-14,0.25,0.25,0.25,0.25,0.25,0
2014-02-15,0.25,0.25,0.25,0.25,0.25,0
2014-02-16,0.25,0.33,0.25,0.32,0.32,2
2014-02-17,0.32,100.0,0.099,100.0,100.0,1
2014-02-18,100.0,100.0,100.0,100.0,100.0,0
2014-02-19,100.0,100.0,0.9,0.9,0.9,0
2014-02-20,0.9,2.0,0.9,1.2,1.2,33
2014-02-21,1.2,1.3,1.08,1.25,1.25,14
2014-02-22,1.25,1.25,0.103,0.103,0.103,7
2014-02-23,0.103,1.26,0.103,1.0,1.0,37
2014-02-24,1.0,1.3,1.0,1.3,1.3,3
2014-02-25,1.3,1.3,0.8,0.8,0.8,50
2014-02-26,0.8,1.5,0.03,1.5,1.5,1
2014-02-27,1.5,1.5,1.5,1.5,1.5,0
2014-02-28,1.5,1.5,1.5,1.5,1.5,0
2014-03-01,1.5,1.5,1.5,1.5,1.5,0
2014-03-02,1.5,1.5,0.8,0.9,0.9,18
2014-03-03,0.9,1.0,0.89,0.9,0.9,8
2014-03-04,0.9,0.9,0.8,0.8,0.8,5
2014-03-05,0.8,0.8,0.8,0.8,0.8,0
2014-03-06,0.8,0.8,0.8,0.8,0.8,0
2014-03-07,0.8,0.8,0.8,0.8,0.8,0
2014-03-08,0.8,0.8,0.8,0.8,0.8,0
2014-03-09,0.8,0.8,0.8,0.8,0.8,0
2014-03-10,0.8,0.8,0.8,0.8,0.8,0
2014-03-11,0.8,0.8,0.8,0.8,0.8,0
2014-03-12,0.8,0.8,0.8,0.8,0.8,0
2014-03-13,0.8,1.0,0.79,0.79,0.79,8
2014-03-14,0.79,0.79,0.79,0.79,0.79,0
2014-03-15,0.79,0.79,0.79,0.79,0.79,0
2014-03-16,0.79,0.79,0.79,0.79,0.79,0
2014-03-17,0.79,0.79,0.79,0.79,0.79,0
2014-03-18,0.79,0.79,0.79,0.79,0.79,0
2014-03-19,0.79,0.79,0.79,0.79,0.79,0
2014-03-20,0.79,0.79,0.79,0.79,0.79,0
2014-03-21,0.79,0.79,0.79,0.79,0.79,0
2014-03-22,0.79,0.79,0.79,0.79,0.79,0
2014-03-23,0.79,0.79,0.7,0.7,0.7,1
2014-03-24,0.7,0.78,0.7,0.78,0.78,4
2014-03-25,0.78,0.78,0.78,0.78,0.78,1
2014-03-26,0.78,0.78,0.78,0.78,0.78,0
2014-03-27,0.78,0.78,0.78,0.78,0.78,0
2014-03-28,0.78,0.78,0.78,0.78,0.78,0
2014-03-29,0.78,0.78,0.7,0.7,0.7,0
2014-03-30,0.7,0.7,0.7,0.7,0.7,0
2014-03-31,0.7,0.7,0.7,0.7,0.7,0
2014-04-01,0.7,0.7,0.7,0.7,0.7,0
2014-04-02,0.7,0.7,0.7,0.7,0.7,0
