Date,Open,High,Low,Close,Adj Close,Volume
2013-10-24,3.0,3.0,3.0,3.0,3.0,8
2013-10-25,3.0,3.0,3.0,3.0,3.0,0
2013-10-26,3.0,3.0,3.0,3.0,3.0,0
2013-10-27,3.0,3.0,3.0,3.0,3.0,0
2013-10-28,3.0,3.0,3.0,3.0,3.0,0
2013-10-29,3.0,3.0,3.0,3.0,3.0,0
2013-10-30,3.0,3.0,3.0,3.0,3.0,0
2013-10-31,3.0,3.0,3.0,3.0,3.0,0
2013-11-01,3.0,3.0,3.0,3.0,3.0,0
2013-11-02,3.0,3.0,3.0,3.0,3.0,0
2013-11-03,3.0,3.0,3.0,3.0,3.0,0
2013-11-04,3.0,3.0,3.0,3.0,3.0,21
2013-11-05,3.0,3.0,3.0,3.0,3.0,0
2013-11-06,3.0,3.0,3.0,3.0,3.0,0
2013-11-07,3.0,3.2,3.0,3.2,3.2,28
2013-11-08,3.2,3.2,3.2,3.2,3.2,2
2013-11-09,3.2,3.2,3.2,3.2,3.2,0
2013-11-10,3.2,3.2,3.2,3.2,3.2,0
2013-11-11,3.2,3.2,3.2,3.2,3.2,0
2013-11-12,3.2,3.2,3.2,3.2,3.2,0
2013-11-13,3.2,5.0,3.2,5.0,5.0,1128
2013-11-14,5.0,5.0,3.0,3.0,3.0,38
2013-11-15,3.0,5.0,3.0,5.0,5.0,50
2013-11-16,5.0,5.0,4.25,4.25,4.25,21
2013-11-17,4.25,4.25,4.25,4.25,4.25,0
2013-11-18,4.25,5.0,4.25,5.0,5.0,25
2013-11-19,5.0,10.0,5.0,9.0,9.0,272
2013-11-20,9.0,9.0,9.0,9.0,9.0,22
2013-11-21,9.0,9.0,9.0,9.0,9.0,850
2013-11-22,9.0,11.0,9.0,10.0,10.0,658
2013-11-23,10.0,14.5,10.0,12.8,12.8,32377
2013-11-24,12.8,13.8,10.0,10.0,10.0,96
2013-11-25,10.0,14.0,10.0,12.0,12.0,2328
2013-11-26,12.0,20.5,11.0,20.5,20.5,7634
2013-11-27,20.5,50.0,20.5,35.990002000000004,35.990002000000004,14864
2013-11-28,35.990002000000004,65.0,35.990002000000004,46.099998,46.099998,13001
2013-11-29,46.099998,50.0,30.200001,41.0,41.0,11730
2013-11-30,41.0,48.0,38.0,41.0,41.0,6048
2013-12-01,41.0,41.209998999999996,24.48,35.299999,35.299999,1676
2013-12-02,35.299999,40.5,29.799999,33.509997999999996,33.509997999999996,3620
2013-12-03,33.509997999999996,36.400002,32.0,33.0,33.0,7169
2013-12-04,33.0,43.0,31.0,32.200001,32.200001,20974
2013-12-05,32.200001,42.990002000000004,29.0,38.0,38.0,24291
2013-12-06,38.0,39.200001,32.0,32.0,32.0,7020
2013-12-07,32.0,32.0,11.0,22.780001000000002,22.780001000000002,7637
2013-12-08,22.780001000000002,28.4,22.780001000000002,27.93,27.93,2092
2013-12-09,27.93,32.59,27.0,31.98,31.98,3602
2013-12-10,31.98,36.599998,31.98,35.259997999999996,35.259997999999996,7327
2013-12-11,35.259997999999996,35.259997999999996,28.780001000000002,31.57,31.57,13797
2013-12-12,31.57,32.93,30.98,31.0,31.0,1459
2013-12-13,31.0,33.0,30.01,30.59,30.59,3919
2013-12-14,30.59,32.389998999999996,30.01,30.01,30.01,3515
2013-12-15,30.01,31.799999,29.15,30.92,30.92,7727
2013-12-16,30.92,32.130001,25.0,25.77,25.77,3419
2013-12-17,25.77,29.0,20.01,23.74,23.74,5200
2013-12-18,23.74,23.74,8.48,13.0,13.0,14485
2013-12-19,13.0,20.0,13.0,19.799999,19.799999,781
2013-12-20,19.799999,22.0,17.219998999999998,18.85,18.85,1168
2013-12-21,18.85,18.85,17.129998999999998,17.129998999999998,17.129998999999998,169
2013-12-22,17.129998999999998,19.01,17.129998999999998,18.0,18.0,2413
2013-12-23,18.0,18.74,16.73,17.200001,17.200001,4050
2013-12-24,17.200001,18.0,17.200001,18.0,18.0,944
2013-12-25,18.0,22.059998999999998,17.5,22.059998999999998,22.059998999999998,5994
2013-12-26,22.059998999999998,25.0,21.9,24.969998999999998,24.969998999999998,24203
2013-12-27,24.969998999999998,24.969998999999998,22.0,22.059998999999998,22.059998999999998,7416
2013-12-28,22.059998999999998,23.33,22.059998999999998,22.33,22.33,270
2013-12-29,22.33,24.51,22.32,24.51,24.51,928
2013-12-30,24.51,25.18,23.16,24.959999,24.959999,4646
2013-12-31,24.959999,24.98,23.549999,23.549999,23.549999,315
2014-01-01,23.549999,25.0,23.549999,24.77,24.77,2048
2014-01-02,24.77,26.6,23.879998999999998,26.6,26.6,4818
2014-01-03,26.6,26.6,24.1,25.49,25.49,807
2014-01-04,25.49,25.49,24.049999,24.049999,24.049999,417
2014-01-05,24.049999,27.0,24.049999,26.01,26.01,16138
2014-01-06,26.01,31.26,22.23,28.700001,28.700001,12995
2014-01-07,28.700001,29.709999,23.0,23.0,23.0,9318
2014-01-08,23.0,26.0,22.190001000000002,24.9,24.9,5690
2014-01-09,24.9,25.790001,24.0,24.5,24.5,393
2014-01-10,24.5,25.790001,24.0,24.059998999999998,24.059998999999998,885
2014-01-11,24.059998999999998,27.620001000000002,24.059998999999998,26.35,26.35,2015
2014-01-12,26.35,26.450001,24.0,25.389999,25.389999,2208
2014-01-13,25.389999,26.309998999999998,24.0,25.01,25.01,20878
2014-01-14,25.01,25.01,24.0,24.52,24.52,213
2014-01-15,24.52,25.469998999999998,24.389999,24.52,24.52,471
2014-01-16,24.52,25.370001000000002,24.01,24.01,24.01,1748
2014-01-17,24.01,24.99,23.27,24.0,24.0,2426
2014-01-18,24.0,24.99,23.5,24.940001000000002,24.940001000000002,12878
2014-01-19,24.940001000000002,24.940001000000002,23.35,24.9,24.9,320
2014-01-20,24.9,24.9,24.280001000000002,24.280001000000002,24.280001000000002,519
2014-01-21,24.280001000000002,25.5,23.5,25.49,25.49,4143
2014-01-22,25.49,25.49,22.389999,23.0,23.0,1259
2014-01-23,23.0,23.73,22.299999,22.299999,22.299999,2821
2014-01-24,22.299999,22.889999,20.5,21.049999,21.049999,6188
2014-01-25,21.049999,22.35,20.290001,22.26,22.26,2899
2014-01-26,22.26,24.0,22.0,22.34,22.34,7269
2014-01-27,22.34,23.5,20.780001000000002,20.780001000000002,20.780001000000002,9919
2014-01-28,20.780001000000002,23.0,20.290001,22.879998999999998,22.879998999999998,1833
2014-01-29,22.879998999999998,22.879998999999998,20.629998999999998,21.700001,21.700001,2131
2014-01-30,21.700001,21.99,20.620001000000002,20.719998999999998,20.719998999999998,190
2014-01-31,20.719998999999998,21.610001,20.719998999999998,21.59,21.59,1109
2014-02-01,21.59,22.66,21.299999,21.459999,21.459999,703
2014-02-02,21.459999,21.870001000000002,21.459999,21.870001000000002,21.870001000000002,246
2014-02-03,21.870001000000002,21.870001000000002,21.41,21.41,21.41,99
2014-02-04,21.41,21.65,21.01,21.07,21.07,1402
2014-02-05,21.07,21.700001,21.0,21.200001,21.200001,3248
2014-02-06,21.200001,21.549999,19.799999,19.799999,19.799999,1066
2014-02-07,19.799999,20.0,17.200001,18.889999,18.889999,1864
2014-02-08,18.889999,20.290001,17.5,17.5,17.5,3435
2014-02-09,17.5,19.809998999999998,17.0,18.700001,18.700001,1778
2014-02-10,18.700001,19.709999,14.0,17.9,17.9,5280
2014-02-11,17.9,19.690001000000002,15.7,16.299999,16.299999,5503
2014-02-12,16.299999,19.49,16.299999,19.49,19.49,490
2014-02-13,19.49,19.49,16.379998999999998,16.42,16.42,2990
2014-02-14,16.42,16.84,14.37,16.76,16.76,1355
2014-02-15,16.76,16.76,16.280001000000002,16.280001000000002,16.280001000000002,22
2014-02-16,16.280001000000002,16.280001000000002,15.23,15.23,15.23,178
2014-02-17,15.23,15.76,15.23,15.76,15.76,385
2014-02-18,15.76,17.280001000000002,15.63,17.280001000000002,17.280001000000002,900
2014-02-19,17.280001000000002,17.41,15.81,15.83,15.83,134
2014-02-20,15.83,17.200001,14.35,15.95,15.95,3719
2014-02-21,15.95,15.95,14.34,14.89,14.89,1798
2014-02-22,14.89,15.63,13.32,13.32,13.32,461
2014-02-23,13.32,16.620001000000002,13.32,15.0,15.0,1700
2014-02-24,15.0,15.93,14.21,15.22,15.22,1859
2014-02-25,15.22,15.22,11.13,14.42,14.42,8630
2014-02-26,14.42,16.610001,14.13,15.85,15.85,9672
2014-02-27,15.85,15.85,14.58,14.84,14.84,2076
2014-02-28,14.84,15.05,14.0,15.05,15.05,2300
2014-03-01,15.05,15.05,13.54,13.54,13.54,258
2014-03-02,13.54,13.54,12.86,12.86,12.86,125
2014-03-03,12.86,15.49,12.86,14.24,14.24,2202
2014-03-04,14.24,19.9,14.24,17.110001,17.110001,8051
2014-03-05,17.110001,18.030001000000002,15.01,17.34,17.34,980
2014-03-06,17.34,17.5,16.82,16.82,16.82,784
2014-03-07,16.82,16.889999,16.43,16.889999,16.889999,1205
2014-03-08,16.889999,16.889999,15.56,15.56,15.56,69
2014-03-09,15.56,16.969998999999998,15.56,16.16,16.16,918
2014-03-10,16.16,16.700001,15.98,16.209999,16.209999,2181
2014-03-11,16.209999,16.700001,16.209999,16.219998999999998,16.219998999999998,40
2014-03-12,16.219998999999998,17.77,16.219998999999998,17.75,17.75,3535
2014-03-13,17.75,17.780001000000002,17.0,17.780001000000002,17.780001000000002,812
2014-03-14,17.780001000000002,17.84,17.0,17.0,17.0,298
2014-03-15,17.0,17.74,16.870001000000002,17.16,17.16,119
2014-03-16,17.16,17.9,17.16,17.18,17.18,122
2014-03-17,17.18,17.9,17.18,17.889999,17.889999,365
2014-03-18,17.889999,20.0,17.200001,20.0,20.0,4817
2014-03-19,20.0,20.5,18.1,18.1,18.1,3035
2014-03-20,18.1,18.1,16.309998999999998,16.889999,16.889999,2245
2014-03-21,16.889999,17.49,16.209999,16.209999,16.209999,937
2014-03-22,16.209999,16.209999,15.3,15.49,15.49,5198
2014-03-23,15.49,15.49,15.49,15.49,15.49,0
2014-03-24,15.49,17.280001000000002,15.27,16.120001000000002,16.120001000000002,903
2014-03-25,16.120001000000002,16.719998999999998,15.89,16.719998999999998,16.719998999999998,2575
2014-03-26,16.719998999999998,16.959999,16.030001000000002,16.959999,16.959999,4023
2014-03-27,16.959999,16.959999,13.94,13.94,13.94,2948
2014-03-28,13.94,15.59,13.94,14.0,14.0,689
2014-03-29,14.0,14.77,14.0,14.3,14.3,426
2014-03-30,14.3,14.3,12.75,12.75,12.75,312
2014-03-31,12.75,13.77,12.74,12.74,12.74,575
2014-04-01,12.74,13.66,12.74,13.41,13.41,150
2014-04-02,13.41,13.81,11.44,11.94,11.94,432
2014-04-03,11.94,11.94,11.0,11.5,11.5,2373
2014-04-04,11.5,11.92,11.31,11.66,11.66,259
2014-04-05,11.66,11.66,11.2,11.2,11.2,1264
2014-04-06,11.2,11.95,11.2,11.39,11.39,163
2014-04-07,11.39,11.96,11.39,11.95,11.95,41
2014-04-08,11.95,12.0,11.79,12.0,12.0,220
2014-04-09,12.0,12.0,11.38,11.87,11.87,35
2014-04-10,11.87,11.87,9.12,9.13,9.13,1684
2014-04-11,9.13,11.0,9.13,11.0,11.0,1179
2014-04-12,11.0,11.77,11.0,11.32,11.32,191
2014-04-13,11.32,11.43,10.25,10.35,10.35,523
2014-04-14,10.35,11.99,10.35,11.99,11.99,841
2014-04-15,11.99,13.23,10.2,12.94,12.94,2557
2014-04-16,12.94,13.72,12.49,13.38,13.38,694
2014-04-17,13.38,13.38,13.15,13.15,13.15,148
2014-04-18,13.15,13.15,12.06,12.57,12.57,383
2014-04-19,12.57,12.77,12.24,12.77,12.77,468
2014-04-20,12.77,13.48,12.73,12.73,12.73,333
2014-04-21,12.73,12.91,12.73,12.73,12.73,72
2014-04-22,12.73,12.73,5.0,5.0,5.0,193
2014-04-23,5.0,12.65,5.0,12.18,12.18,24
2014-04-24,12.18,12.88,12.08,12.88,12.88,66
2014-04-25,12.88,12.88,11.14,11.14,11.14,2126
2014-04-26,11.14,11.14,10.8,10.8,10.8,798
2014-04-27,10.8,11.48,10.31,10.31,10.31,682
2014-04-28,10.31,10.59,9.98,10.4,10.4,829
2014-04-29,10.4,10.72,10.29,10.56,10.56,703
2014-04-30,10.56,11.19,10.54,11.11,11.11,3605
2014-05-01,11.11,11.42,11.04,11.3,11.3,389
2014-05-02,11.3,11.3,10.72,10.78,10.78,1138
2014-05-03,10.78,10.96,10.38,10.39,10.39,692
2014-05-04,10.39,10.58,10.33,10.5,10.5,523
2014-05-05,10.5,11.27,10.29,10.29,10.29,150
2014-05-06,10.29,10.71,10.11,10.56,10.56,614
2014-05-07,10.56,10.87,10.47,10.7,10.7,266
2014-05-08,10.7,11.11,10.7,10.77,10.77,220
2014-05-09,10.77,11.03,9.89,9.89,9.89,592
2014-05-10,9.89,11.02,9.89,10.8,10.8,208
2014-05-11,10.8,10.8,10.34,10.34,10.34,1265
2014-05-12,10.34,10.67,10.34,10.46,10.46,1390
2014-05-13,10.46,10.46,10.35,10.36,10.36,293
2014-05-14,10.36,10.45,10.36,10.4,10.4,70
2014-05-15,10.4,10.4,10.35,10.35,10.35,59
2014-05-16,10.35,10.65,10.35,10.65,10.65,1
2014-05-17,10.65,10.65,10.15,10.15,10.15,6
2014-05-18,10.15,10.15,10.15,10.15,10.15,0
2014-05-19,10.15,10.31,10.15,10.31,10.31,0
2014-05-20,10.31,11.05,10.31,10.86,10.86,1255
2014-05-21,10.86,10.86,10.75,10.75,10.75,19
2014-05-22,10.75,11.07,10.6,10.88,10.88,765
2014-05-23,10.88,12.06,9.56,11.27,11.27,1257
2014-05-24,11.0,11.0,10.75,10.75,10.75,8
2014-05-25,11.27,12.01,11.27,11.8,11.8,712
2014-05-26,11.8,12.04,11.6,12.04,12.04,246
2014-05-27,12.04,12.7,11.43,12.0,12.0,685
2014-05-28,12.0,12.0,10.92,10.92,10.92,707
2014-05-29,10.92,11.28,10.92,11.28,11.28,106
2014-05-30,11.28,11.37,10.69,11.23,11.23,957
2014-05-31,11.23,11.43,11.08,11.08,11.08,130
