Date,Gold_am,Gold_pm,Silver
2010-07-19,1190.25,1181,17.78
2010-07-20,1181.5,1183,17.55
2010-07-21,1191.25,1191.5,17.88
2010-07-22,1187,1199.5,17.82
2010-07-23,1198.75,1190.5,18.17
2010-07-26,1189,1183.5,18.01
2010-07-27,1184,1168,18.16
2010-07-28,1164,1157,17.63
2010-07-29,1166,1162.5,17.6
2010-07-30,1168,1169,17.66
2010-08-02,1178,1188.5,18.11
2010-08-03,1184,1187.5,18.42
2010-08-04,1194.5,1199.5,18.5
2010-08-05,1195.5,1192.5,18.35
2010-08-06,1194.5,1207.75,18.3
2010-08-09,1206,1203,18.48
2010-08-10,1196.75,1192.5,18.09
2010-08-11,1198,1205.5,18.12
2010-08-12,1200,1213,17.92
2010-08-13,1215,1214.25,18.06
2010-08-16,1222,1223.5,18.2
2010-08-17,1226.25,1226,18.54
2010-08-18,1223,1218,18.36
2010-08-19,1228,1233.5,18.45
2010-08-20,1230.5,1223.5,18.14
2010-08-23,1227,1226,17.94
2010-08-24,1218,1222,17.88
2010-08-25,1237.5,1237.5,18.63
2010-08-26,1240.25,1237,19.11
2010-08-27,1234.5,1235,19.03
2010-08-31,1233.5,1246,18.87
2010-09-01,1250,1246.5,19.47
2010-09-02,1247.75,1248.5,19.45
2010-09-03,1252,1240.5,19.66
2010-09-06,1249.5,1249,19.86
2010-09-07,1247.25,1256.75,19.65
2010-09-08,1258,1255,20.02
2010-09-09,1253.5,1255,19.97
2010-09-10,1248.75,1246.5,19.9
2010-09-13,1243,1243.75,19.93
2010-09-14,1253.25,1265.5,20.31
2010-09-15,1270,1267,20.44
2010-09-16,1271.25,1272.5,20.76
2010-09-17,1281.5,1274,20.85
2010-09-20,1280.25,1279.25,20.91
2010-09-21,1278.75,1275,20.76
2010-09-22,1291.75,1293.5,21.08
2010-09-23,1291.5,1290.75,21.08
2010-09-24,1298,1297,21.35
2010-09-27,1298.25,1297,21.54
2010-09-28,1289,1294,21.165
2010-09-29,1307.5,1307.5,21.87
2010-09-30,1311,1307,22.07
2010-10-01,1313,1316.25,21.95
2010-10-04,1316,1313.5,22.03
2010-10-05,1325.75,1330.5,22.24
2010-10-06,1347,1346.5,22.92
2010-10-07,1359.5,1345,23.38
2010-10-08,1330.5,1341.5,22.37
2010-10-11,1348.5,1351.5,23.31
2010-10-12,1343.5,1348.5,23.03
2010-10-13,1358.5,1365.5,23.53
2010-10-14,1380.75,1373.25,24.49
2010-10-15,1377.25,1367.5,24.42
2010-10-18,1359.75,1367.25,24.02
2010-10-19,1367.75,1339,24.26
2010-10-20,1340.5,1339,23.71
2010-10-21,1345.25,1343.5,23.9
2010-10-22,1319,1322.5,23.05
2010-10-25,1345,1337.5,23.71
2010-10-26,1334,1329.5,23.48
2010-10-27,1332.25,1324.5,23.77
2010-10-28,1326.5,1333.5,23.73
2010-10-29,1336.75,1346.75,23.96
2010-11-01,1361.5,1354.5,24.91
2010-11-02,1358,1351,24.73
2010-11-03,1358.5,1345.5,25
2010-11-04,1361,1381,25.38
2010-11-05,1384.25,1395.5,26.14
2010-11-08,1390,1388.5,26.72
2010-11-09,1416.25,1421,28.55
2010-11-10,1402,1390.5,27.53
2010-11-11,1413,1398.5,27.75
2010-11-12,1387,1388.5,26.79
2010-11-15,1367,1368.5,26.01
2010-11-16,1363.25,1349,25.48
2010-11-17,1336.5,1337.5,25.2
2010-11-18,1356.75,1350.25,26.57
2010-11-19,1357.5,1342.5,27.07
2010-11-22,1357.5,1356.5,27.42
2010-11-23,1361,1377.5,27.31
2010-11-24,1376.25,1372.5,27.41
2010-11-25,1370.5,1373.25,27.44
2010-11-26,1366.5,1355,26.62
2010-11-29,1360,1357,26.74
2010-11-30,1375,1383.5,27.13
2010-12-01,1391.5,1385.5,28.74
2010-12-02,1390,1389,28.5
2010-12-03,1391.75,1403.5,28.74
2010-12-06,1411.5,1415.25,29.6
2010-12-07,1426,1420,30.5
2010-12-08,1395,1385.5,29.02
2010-12-09,1382,1391.25,28.41
2010-12-10,1390,1375.25,28.79
2010-12-13,1388.25,1399,29.33
2010-12-14,1405,1394.5,29.88
2010-12-15,1388.25,1388.75,29.06
2010-12-16,1384,1363,29.15
2010-12-17,1374.75,1368.5,28.78
2010-12-20,1381,1380,29.21
2010-12-21,1386,1383,29.25
2010-12-22,1389,1387,29.35
2010-12-23,1384,1373.5,29.18
