MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation,MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,1,4,3,1,5,5,1,2
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Feedr,MetalSd,None,WD,Lvl,Attchd,Norm,FR2,Gtl,Gable,Normal,Reg,None,Veenker,1Story,None,CBlock,20,0,1,8,1,4,1,1,1,8,2,9,3,1,2,2,0,1,4,3,1,24,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,1,4,0,1,5,5,1,2
70,1Fam,GasA,Wd Shng,Pave,RL,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Abnorml,IR1,None,Crawfor,2Story,None,BrkTil,70,0,1,16,1,4,1,1,2,14,2,9,3,5,2,0,0,1,0,0,1,6,5,1,0
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,FR2,Gtl,Gable,Normal,IR1,None,NoRidge,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,2,0,1,4,0,1,15,5,1,2
50,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,Shed,Mitchel,1.5Fin,None,Wood,50,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,0,3,11,0,1,5
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Somerst,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,9,3,1,2,4,0,1,4,3,1,21,2,1,2
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,PosN,HdBoard,Stone,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,Shed,NWAmes,2Story,None,CBlock,60,0,1,6,1,4,1,1,4,6,3,9,3,1,2,0,0,1,4,0,3,14,5,1,1
50,1Fam,GasA,Wd Shng,Pave,RM,Y,CompShg,Artery,BrkFace,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,OldTown,1.5Fin,None,BrkTil,50,0,1,16,1,5,1,1,0,3,2,9,3,5,2,4,0,1,0,3,1,17,0,1,0
190,2fmCon,GasA,MetalSd,Pave,RL,Y,CompShg,Artery,MetalSd,None,WD,Lvl,Attchd,Artery,Corner,Gtl,Gable,Normal,Reg,None,BrkSide,1.5Unf,None,BrkTil,190,1,1,8,1,4,1,1,0,8,2,9,3,1,0,0,0,1,4,3,1,3,1,1,0
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,Sawyer,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,3,5,2,4,0,3,4,3,1,19,2,1,1
60,1Fam,GasA,Wd Shng,Pave,RL,Y,CompShg,Norm,WdShing,Stone,New,Lvl,BuiltIn,Norm,Inside,Gtl,Hip,Partial,IR1,None,NridgHt,2Story,None,PConc,60,0,1,16,1,4,1,1,2,15,3,6,3,3,2,4,0,3,5,0,1,16,5,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Hip,Normal,IR2,None,Sawyer,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,6,2,9,3,5,2,4,0,3,4,1,1,19,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,New,Lvl,Attchd,Norm,Inside,Gtl,Gable,Partial,IR1,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,6,3,1,2,4,0,1,5,0,1,5,2,1,2
