MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,4,65.0,8450,1,1,3,3,2,4,0,5,2,2,0,5,7,5,2003,2003,1,1,13,14,1,196.0,3,2,2,2,3,1,6,706.0,1,0.0,150.0,856.0,1,5,1,5,856,854,0,1710,1.0,0.0,2,1,3,1,3,8,7,0,0,1,2003,2,2.0,548.0,3,3,2,0,61,0,0,0,0,0,0,1,0,2,2008,9,4,208500
20,4,80.0,9600,1,1,3,3,2,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,2,2,1,2,3,4,5,978.0,1,0.0,284.0,1262.0,1,5,1,5,1262,0,0,1262,0.0,1.0,2,0,3,1,2,6,7,1,3,1,1976,2,2.0,460.0,3,3,2,298,0,0,0,0,0,0,0,1,0,5,2007,9,4,181500
60,4,68.0,11250,1,1,0,3,2,4,0,5,2,2,0,5,7,5,2001,2002,1,1,13,14,1,162.0,3,2,2,2,3,2,6,486.0,1,0.0,434.0,920.0,1,5,1,5,920,866,0,1786,1.0,0.0,2,1,3,1,3,6,7,1,3,1,2001,2,2.0,608.0,3,3,2,0,42,0,0,0,0,0,0,1,0,9,2008,9,4,223500
70,4,60.0,9550,1,1,0,3,2,0,0,6,2,2,0,5,7,5,1915,1970,1,1,14,16,2,0.0,2,2,0,3,4,1,5,216.0,1,0.0,540.0,756.0,1,3,1,5,961,756,0,1717,1.0,0.0,1,0,3,1,3,7,7,1,4,5,1998,1,3.0,642.0,3,3,2,0,35,272,0,0,0,0,0,1,0,2,2006,9,0,140000
60,4,84.0,14260,1,1,0,3,2,2,0,15,2,2,0,5,8,5,2000,2000,1,1,13,14,1,350.0,3,2,2,2,3,3,6,655.0,1,0.0,490.0,1145.0,1,5,1,5,1145,1053,0,2198,1.0,0.0,2,1,4,1,3,9,7,1,3,1,2000,2,3.0,836.0,3,3,2,192,84,0,0,0,0,0,0,1,0,12,2008,9,4,250000
50,4,85.0,14115,1,1,0,3,2,4,0,11,2,2,0,0,5,5,1993,1995,1,1,13,14,2,0.0,2,2,5,2,3,1,6,732.0,1,0.0,64.0,796.0,1,5,1,5,796,566,0,1362,1.0,0.0,1,1,1,1,2,5,7,0,0,1,1993,1,2.0,480.0,3,3,2,40,30,0,320,0,0,0,3,3,700,10,2009,9,4,143000
20,4,75.0,10084,1,1,3,3,2,4,0,21,2,2,0,2,8,5,2004,2005,1,1,13,14,3,186.0,3,2,2,4,3,3,6,1369.0,1,0.0,317.0,1686.0,1,5,1,5,1694,0,0,1694,1.0,0.0,2,0,3,1,3,7,7,1,4,1,2004,2,2.0,636.0,3,3,2,255,57,0,0,0,0,0,0,1,0,8,2007,9,4,307000
60,4,0.0,10382,1,1,0,3,2,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,240.0,2,2,1,2,3,2,5,859.0,4,32.0,216.0,1107.0,1,5,1,5,1107,983,0,2090,1.0,0.0,2,1,3,1,2,7,7,2,3,1,1973,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,0,3,350,11,2009,9,4,200000
50,5,51.0,6120,1,1,3,3,2,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,16,2,0.0,2,2,0,3,3,1,1,0.0,1,0.0,952.0,952.0,1,3,1,3,1022,752,0,1774,0.0,0.0,2,0,2,2,2,8,6,2,3,5,1931,1,2.0,468.0,2,3,2,90,0,205,0,0,0,0,0,1,0,4,2008,9,0,129900
190,4,50.0,7420,1,1,3,3,2,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,2,2,0,3,3,1,6,851.0,1,0.0,140.0,991.0,1,5,1,5,1077,0,0,1077,1.0,0.0,1,0,2,2,2,5,7,2,3,1,1939,2,1.0,205.0,4,3,2,0,4,0,0,0,0,0,0,1,0,1,2008,9,4,118000
