Date, Open, High, Low, Close
09/07/18, 373.59, 374.09, 371.89, 373.77
09/06/18, 375.19, 376.36, 373.45, 373.47
09/05/18, 379.07, 379.07, 375.45, 375.68
09/04/18, 383.18, 384.02, 378.59, 379.83
09/03/18, 381.92, 382.76, 381.60, 382.51
08/31/18, 385.06, 385.06, 382.02, 382.26
08/30/18, 386.52, 386.52, 383.90, 385.36
08/29/18, 385.89, 386.75, 384.66, 386.58
08/28/18, 386.00, 386.80, 385.40, 385.46
08/27/18, 384.07, 385.83, 384.07, 385.57
08/24/18, 383.37, 384.80, 382.96, 383.56
08/23/18, 384.16, 385.31, 383.32, 383.38
08/22/18, 383.66, 385.00, 383.27, 384.02
08/21/18, 382.71, 385.27, 382.36, 384.15
08/20/18, 381.33, 384.05, 381.33, 383.23
08/17/18, 381.44, 382.09, 379.09, 381.06
08/16/18, 380.30, 381.75, 379.85, 381.43
08/15/18, 385.18, 385.87, 378.73, 379.70
08/14/18, 385.51, 387.22, 384.01, 384.92
08/13/18, 385.62, 385.72, 383.65, 384.91
08/10/18, 389.91, 389.91, 384.97, 385.86
08/09/18, 389.01, 390.10, 388.07, 390.05
08/08/18, 389.73, 390.66, 388.88, 389.69
08/07/18, 388.85, 391.47, 388.85, 390.49
08/06/18, 389.44, 390.31, 387.59, 388.66
08/03/18, 387.33, 389.63, 387.09, 389.16
08/02/18, 389.46, 389.46, 385.93, 386.64
08/01/18, 391.81, 392.26, 389.59, 389.84
07/31/18, 390.76, 392.69, 390.37, 391.61
07/30/18, 391.17, 391.72, 390.39, 390.92
07/27/18, 390.34, 392.20, 390.34, 392.08
07/26/18, 387.65, 390.63, 387.65, 390.53
07/25/18, 388.42, 388.69, 386.60, 387.17
07/24/18, 385.70, 389.31, 385.70, 388.18
07/23/18, 385.55, 385.69, 383.59, 384.88
07/20/18, 385.63, 386.84, 382.91, 385.62
07/19/18, 387.03, 387.52, 385.64, 386.18
07/18/18, 385.60, 387.56, 385.60, 387.06
07/17/18, 384.03, 385.46, 382.74, 384.98
07/16/18, 385.21, 385.98, 383.32, 384.05
07/13/18, 384.92, 386.53, 384.67, 385.03
07/12/18, 382.08, 384.47, 381.29, 384.37
07/11/18, 384.56, 384.56, 381.08, 381.40
07/10/18, 385.17, 386.87, 384.66, 386.25
07/09/18, 383.45, 385.15, 383.45, 384.59
07/06/18, 382.12, 382.91, 380.31, 382.36
07/05/18, 379.71, 383.41, 379.71, 381.59
07/04/18, 379.56, 380.60, 379.00, 380.05
07/03/18, 377.34, 380.98, 377.21, 379.81
07/02/18, 378.59, 378.59, 375.22, 376.75
06/29/18, 378.33, 381.69, 378.33, 379.93
06/28/18, 379.02, 380.24, 375.11, 376.87
06/27/18, 377.36, 381.77, 374.38, 379.97
06/26/18, 377.82, 378.78, 376.82, 377.25
06/25/18, 383.80, 383.80, 377.05, 377.17
06/22/18, 381.03, 385.01, 381.03, 385.01
06/21/18, 384.72, 386.12, 380.15, 380.85
06/20/18, 383.96, 386.55, 383.96, 384.29
06/19/18, 384.71, 384.71, 380.83, 383.21
06/18/18, 388.75, 388.87, 384.59, 385.91
06/15/18, 393.07, 393.96, 389.13, 389.13
06/14/18, 386.99, 393.89, 385.52, 393.04
06/13/18, 388.00, 389.13, 387.08, 388.25
06/12/18, 388.70, 389.64, 387.33, 387.53
06/11/18, 385.30, 388.24, 385.30, 387.94
06/08/18, 385.60, 386.00, 382.78, 385.12
06/07/18, 387.13, 389.06, 385.33, 385.94
06/06/18, 386.95, 387.93, 384.60, 386.88
06/05/18, 387.86, 390.02, 386.89, 386.89
06/04/18, 387.95, 389.47, 387.66, 388.11
06/01/18, 383.35, 388.11, 383.35, 386.91
05/31/18, 385.41, 386.70, 382.14, 383.06
05/30/18, 383.98, 385.49, 383.21, 385.49
05/29/18, 388.82, 388.82, 382.84, 384.47
05/28/18, 390.49, 392.24, 389.19, 389.82
05/25/18, 391.20, 392.91, 389.72, 391.08
05/24/18, 392.66, 394.11, 389.51, 390.54
05/23/18, 396.44, 396.44, 391.42, 392.58
05/22/18, 396.02, 397.86, 395.66, 396.94
05/21/18, 394.83, 396.41, 394.83, 395.87
05/18/18, 395.37, 396.04, 393.79, 394.67
05/17/18, 393.06, 395.79, 392.93, 395.79
05/16/18, 392.76, 393.61, 391.82, 393.21
05/15/18, 391.80, 393.39, 391.14, 392.37
05/14/18, 392.25, 392.49, 390.78, 392.19
05/11/18, 391.96, 392.56, 391.54, 392.40
05/10/18, 391.93, 392.77, 390.55, 391.97
05/09/18, 390.29, 392.44, 390.29, 392.44
05/08/18, 389.39, 390.00, 388.13, 390.00
05/07/18, 387.02, 389.53, 387.02, 389.51
05/04/18, 385.01, 387.03, 384.91, 387.03
05/03/18, 386.97, 387.06, 384.06, 384.62
05/02/18, 385.06, 387.85, 385.06, 387.44
05/01/18, 385.42, 385.81, 384.88, 385.03
04/30/18, 383.92, 385.60, 383.77, 385.32
04/27/18, 384.09, 384.84, 383.19, 384.64
04/26/18, 380.15, 383.80, 379.46, 383.75
