Date,Open,High,Low,Close,Adj Close,Volume
2015-01-29,7.000000000000001e-06,9e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,22
2015-01-30,7.000000000000001e-06,9e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,8
2015-01-31,7.000000000000001e-06,9e-06,7.000000000000001e-06,9e-06,9e-06,529
2015-02-01,9e-06,9e-06,9e-06,9e-06,9e-06,65
2015-02-02,1e-05,1e-05,1e-05,1e-05,1e-05,34
2015-02-03,9e-06,1.1e-05,9e-06,9e-06,9e-06,125
2015-02-04,9e-06,1.4000000000000001e-05,9e-06,1.1e-05,1.1e-05,67
2015-02-05,1.1e-05,1.3000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,104
2015-02-06,1.1e-05,1.3000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,126
2015-02-07,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,121
2015-02-08,1.1e-05,1.1e-05,9e-06,1.1e-05,1.1e-05,50
2015-02-09,1.1e-05,1.3000000000000001e-05,1.1e-05,1.3000000000000001e-05,1.3000000000000001e-05,106
2015-02-10,1.3000000000000001e-05,1.3000000000000001e-05,9e-06,1.1e-05,1.1e-05,496
2015-02-11,1.1e-05,1.1e-05,9e-06,9e-06,9e-06,89
2015-02-12,9e-06,9e-06,9e-06,9e-06,9e-06,25
2015-02-13,9e-06,9e-06,9e-06,9e-06,9e-06,49
2015-02-14,1e-05,1.3000000000000001e-05,1e-05,1e-05,1e-05,104
2015-02-15,9e-06,9e-06,9e-06,9e-06,9e-06,45
2015-02-16,9e-06,1.2e-05,9e-06,9e-06,9e-06,60
2015-02-17,1e-05,1.2e-05,1e-05,1e-05,1e-05,83
2015-02-18,9e-06,1.2e-05,9e-06,9e-06,9e-06,108
2015-02-19,1e-05,1.2e-05,1e-05,1e-05,1e-05,192
2015-02-20,1e-05,1.2e-05,1e-05,1e-05,1e-05,167
2015-02-21,1e-05,1.2e-05,1e-05,1e-05,1e-05,151
2015-02-22,9e-06,1.2e-05,9e-06,9e-06,9e-06,123
2015-02-23,1e-05,1.2e-05,1e-05,1e-05,1e-05,120
2015-02-24,1e-05,1.2e-05,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,72
2015-02-25,7.000000000000001e-06,1.2e-05,7.000000000000001e-06,9e-06,9e-06,841
2015-02-26,9e-06,1.2e-05,9e-06,9e-06,9e-06,59
2015-02-27,1e-05,1e-05,1e-05,1e-05,1e-05,81
2015-02-28,1e-05,1e-05,8e-06,8e-06,8e-06,8
2015-03-01,8e-06,1e-05,8e-06,8e-06,8e-06,34
2015-03-02,8e-06,1.1e-05,8e-06,8e-06,8e-06,37
2015-03-03,8e-06,8e-06,8e-06,8e-06,8e-06,63
2015-03-04,8e-06,1.4000000000000001e-05,8e-06,1.1e-05,1.1e-05,321
2015-03-05,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,194
2015-03-06,1.1e-05,1.4000000000000001e-05,8e-06,1.1e-05,1.1e-05,693
2015-03-07,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,263
2015-03-08,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,61
2015-03-09,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,131
2015-03-10,1.2e-05,1.4999999999999999e-05,9e-06,1.2e-05,1.2e-05,220
2015-03-11,1.2e-05,1.2e-05,9e-06,1.2e-05,1.2e-05,63
2015-03-12,1.2e-05,1.4999999999999999e-05,1.2e-05,1.2e-05,1.2e-05,58
2015-03-13,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,100
2015-03-14,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,1211
2015-03-15,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,200
2015-03-16,1.2e-05,1.4999999999999999e-05,1.2e-05,1.2e-05,1.2e-05,61
2015-03-17,1.1e-05,1.4000000000000001e-05,1.1e-05,1.1e-05,1.1e-05,285
2015-03-18,1e-05,1.4999999999999999e-05,1e-05,1e-05,1e-05,1272
2015-03-19,1e-05,1.3000000000000001e-05,1e-05,1e-05,1e-05,568
2015-03-20,1e-05,1.3000000000000001e-05,1e-05,1e-05,1e-05,124
2015-03-21,1e-05,1.3000000000000001e-05,1e-05,1.3000000000000001e-05,1.3000000000000001e-05,64
2015-03-22,1.3000000000000001e-05,1.6e-05,1.1e-05,1.3000000000000001e-05,1.3000000000000001e-05,70
2015-03-23,1.3000000000000001e-05,1.3000000000000001e-05,1.1e-05,1.3000000000000001e-05,1.3000000000000001e-05,54
2015-03-24,1.2e-05,1.4999999999999999e-05,1e-05,1e-05,1e-05,20
2015-03-25,1e-05,1.2e-05,1e-05,1.2e-05,1.2e-05,39
2015-03-26,1.2e-05,1.2e-05,1e-05,1e-05,1e-05,13
2015-03-27,1e-05,1.2e-05,1e-05,1.2e-05,1.2e-05,22
2015-03-28,1.3000000000000001e-05,1.4999999999999999e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,22
2015-03-29,1.2e-05,1.4999999999999999e-05,1e-05,1e-05,1e-05,140
2015-03-30,1e-05,1.4999999999999999e-05,1e-05,1e-05,1e-05,452
2015-03-31,1e-05,2e-05,1e-05,1.4999999999999999e-05,1.4999999999999999e-05,1991
2015-04-01,1.4999999999999999e-05,2e-05,1.2e-05,1.4999999999999999e-05,1.4999999999999999e-05,163
2015-04-02,1.4999999999999999e-05,1.8e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,108
2015-04-03,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,114
2015-04-04,1.4999999999999999e-05,1.8e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,79
2015-04-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,276
2015-04-06,1.4999999999999999e-05,2e-05,1.4999999999999999e-05,1.8e-05,1.8e-05,911
2015-04-07,1.8e-05,2.3e-05,1.4999999999999999e-05,2.3e-05,2.3e-05,431
2015-04-08,2.2e-05,3.2e-05,2e-05,2.4e-05,2.4e-05,224
2015-04-09,2.4e-05,2.8999999999999997e-05,1.9e-05,2.4e-05,2.4e-05,243
2015-04-10,2.3e-05,2.8000000000000003e-05,1.9e-05,2.6000000000000002e-05,2.6000000000000002e-05,708
2015-04-11,2.6000000000000002e-05,2.6000000000000002e-05,1.9e-05,1.9e-05,1.9e-05,193
2015-04-12,1.9e-05,2.1e-05,1.7e-05,1.7e-05,1.7e-05,224
2015-04-13,1.6e-05,2e-05,1.3000000000000001e-05,1.6e-05,1.6e-05,79
2015-04-14,1.4999999999999999e-05,1.7e-05,1.3000000000000001e-05,1.4999999999999999e-05,1.4999999999999999e-05,318
2015-04-15,1.6e-05,1.8e-05,1.3000000000000001e-05,1.6e-05,1.6e-05,83
2015-04-16,1.6e-05,2.5e-05,1.6e-05,2.5e-05,2.5e-05,224
2015-04-17,2.4e-05,2.4e-05,2e-05,2e-05,2e-05,146
2015-04-18,2e-05,2.5e-05,2e-05,2e-05,2e-05,63
2015-04-19,2e-05,2.5e-05,2e-05,2.2e-05,2.2e-05,103
2015-04-20,2.2e-05,2.5e-05,2.2e-05,2.2e-05,2.2e-05,294
2015-04-21,2.3e-05,2.9999999999999997e-05,2.3e-05,2.8000000000000003e-05,2.8000000000000003e-05,333
2015-04-22,2.8000000000000003e-05,2.9999999999999997e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,369
2015-04-23,2.6000000000000002e-05,2.8000000000000003e-05,2.4e-05,2.4e-05,2.4e-05,102
2015-04-24,2.3e-05,2.8000000000000003e-05,2.3e-05,2.3e-05,2.3e-05,221
2015-04-25,2.3e-05,2.7000000000000002e-05,2e-05,2.5e-05,2.5e-05,433
2015-04-26,2.4e-05,2.8000000000000003e-05,2.2e-05,2.6000000000000002e-05,2.6000000000000002e-05,255
2015-04-27,2.7000000000000002e-05,2.9999999999999997e-05,2.5e-05,2.5e-05,2.5e-05,69
2015-04-28,2.5e-05,2.8999999999999997e-05,2.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,510
2015-04-29,2.7000000000000002e-05,2.8999999999999997e-05,2.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,249
