Date,Hour,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price
2015-05-31,00:00:00,232.11,232.11,231.92,231.92,223.37,51822.18,232
2015-05-31,01:00:00,231.88,232.32,231.87,232.32,217.49,50452.68,231.98
2015-05-31,02:00:00,231.97,232.51,231.88,232.51,46.45,10782.23,232.14
2015-05-31,03:00:00,232.49,232.49,231.93,232.49,8.85,2057.04,232.38
2015-05-31,04:00:00,232.49,232.49,231.9,232.22,14.78,3429,232.05
2015-05-31,05:00:00,232.22,232.22,231.88,232.21,44.8,10392.68,232
2015-05-31,06:00:00,232.21,232.33,231.88,232.23,15.84,3674.51,232.02
2015-05-31,07:00:00,232.23,232.41,231.88,232.4,42.76,9926.06,232.11
2015-05-31,08:00:00,232.39,232.45,231.88,232.4,39.48,9164.24,232.11
2015-05-31,09:00:00,232.39,232.5,231.5,232.01,271.19,62891.23,231.91
2015-05-31,10:00:00,232.01,232.04,231.39,231.86,55.59,12884.87,231.78
2015-05-31,11:00:00,231.81,231.81,229.99,230.38,923.7,213149.52,230.76
2015-05-31,12:00:00,230.63,231.28,230.01,230.41,90.1,20796.93,230.82
2015-05-31,13:00:00,230.4,231.19,230.01,231.19,175.9,40511.67,230.31
2015-05-31,14:00:00,230.91,231.15,230.06,230.29,94.01,21679.54,230.61
2015-05-31,15:00:00,230.6,231.54,230.34,231.32,75.47,17437.03,231.06
2015-05-31,16:00:00,231.32,232.42,231.01,232.38,542.26,125785.62,231.97
2015-05-31,17:00:00,232.16,232.3,231.4,231.4,290.97,67415.5,231.69
2015-05-31,18:00:00,231.73,232.31,231.4,232.2,58.48,13567.97,232
2015-05-31,19:00:00,232.1,232.1,231.01,231.52,176.33,40815.17,231.48
2015-05-31,20:00:00,231.5,231.54,231.01,231.28,51.45,11891.86,231.14
2015-05-31,21:00:00,231.11,231.29,229.99,230.36,294.34,67758.56,230.2
2015-05-31,22:00:00,230.29,230.29,228,228.55,544.52,124554.19,228.74
2015-05-31,23:00:00,228.57,229.29,228.22,228.91,74.08,16942.08,228.71
2015-06-01,00:00:00,228.91,229.48,228.19,229.26,60.61,13883.78,229.08
2015-06-01,01:00:00,229.26,229.85,229.06,229.76,60.9,13978.22,229.53
2015-06-01,02:00:00,229.74,230.22,229.21,230.22,93.48,21473.78,229.73
2015-06-01,03:00:00,229.89,230.05,229.21,229.5,24.13,5540.43,229.59
2015-06-01,04:00:00,229.75,230.02,229.13,229.32,25.11,5765.96,229.59
2015-06-01,05:00:00,229.76,230.19,229.12,229.47,70.99,16305.57,229.69
2015-06-01,06:00:00,229.47,229.49,229.15,229.49,36.7,8421.52,229.45
2015-06-01,07:00:00,229.49,231.13,229.13,231,1015.35,234123.2,230.58
2015-06-01,08:00:00,231.15,231.2,230.04,230.48,510.47,117708.67,230.59
2015-06-01,09:00:00,230.48,230.8,228.24,229.16,673.67,154594.25,229.48
2015-06-01,10:00:00,229.11,229.14,226,226.14,912.82,207087.24,226.87
2015-06-01,11:00:00,226.02,228.1,225.97,227.46,1011.84,229768.62,227.08
2015-06-01,12:00:00,227.16,227.42,226.22,226.79,259.43,58859.34,226.88
2015-06-01,13:00:00,226.94,227.75,226.39,227.29,229.64,52134.37,227.02
2015-06-01,14:00:00,227.08,227.61,226.38,227.59,260.15,59130.42,227.3
2015-06-01,15:00:00,227.25,227.4,221,222.51,2702.96,603669.58,223.34
2015-06-01,16:00:00,222.47,224.24,221.26,223.5,926.4,206720.68,223.15
2015-06-01,17:00:00,223.2,223.71,221.89,222.76,666.74,148696.38,223.02
2015-06-01,18:00:00,222.72,223,221.65,222.81,484.5,107805.09,222.51
2015-06-01,19:00:00,222.81,223,221.66,222.64,448.7,99854.25,222.54
2015-06-01,20:00:00,222.59,222.61,221.63,222.1,321.16,71355.8,222.18
2015-06-01,21:00:00,222.1,222.82,220.65,221.46,630.72,139885.99,221.79
2015-06-01,22:00:00,221.57,223.61,221.35,223.25,656.15,145889.82,222.34
2015-06-01,23:00:00,223.25,223.82,223.13,223.51,102.35,22880.84,223.55
2015-06-02,00:00:00,223.5,223.88,223,223.86,81,18092.46,223.35
2015-06-02,01:00:00,223.64,224.29,222.95,224.29,126.67,28364.2,223.92
2015-06-02,02:00:00,224.04,225.96,223.02,223.9,336.16,75513.92,224.63
2015-06-02,03:00:00,223.8,223.8,223.09,223.18,32.15,7177.55,223.22
2015-06-02,04:00:00,223.32,223.32,221.35,222.47,561.55,124597.63,221.88
2015-06-02,05:00:00,222.66,223,222.1,222.98,105.35,23439.26,222.48
2015-06-02,06:00:00,222.98,223.75,222.12,223.47,425.66,94868.08,222.87
2015-06-02,07:00:00,223.47,223.55,222.4,222.4,333.49,74379.46,223.04
2015-06-02,08:00:00,222.89,223.32,221.79,222.96,401.06,89254.36,222.55
2015-06-02,09:00:00,222.73,223.01,221.35,222,437.71,97124.49,221.89
2015-06-02,10:00:00,221.85,222.6,221.34,221.9,648.24,143806.09,221.84
2015-06-02,11:00:00,221.84,223.23,221.84,222.89,259.74,57858.65,222.76
2015-06-02,12:00:00,223.07,223.68,222.51,223.61,334.13,74562.87,223.15
2015-06-02,13:00:00,223.61,225.86,223.39,225.52,324.46,72936.24,224.79
2015-06-02,14:00:00,225.82,225.88,224.51,224.91,507.64,114286.51,225.13
2015-06-02,15:00:00,224.78,226.38,224.59,225.34,818.06,184305.41,225.3
2015-06-02,16:00:00,225.21,226.02,224.41,224.74,438.46,98798.19,225.33
2015-06-02,17:00:00,224.74,225,223.78,224.75,523.83,117513.39,224.34
2015-06-02,18:00:00,224.67,224.99,224.19,224.98,238.64,53603.34,224.62
2015-06-02,19:00:00,224.99,225.8,224.38,225.42,425.53,95780.34,225.09
2015-06-02,20:00:00,225.16,225.48,224.73,225.14,107.94,24309,225.2
2015-06-02,21:00:00,225.14,225.21,224.5,225.2,112.72,25350.32,224.9
2015-06-02,22:00:00,225.02,225.4,224.42,225.35,101.2,22785.28,225.16
2015-06-02,23:00:00,225.28,225.38,224.62,225.18,63.49,14289.22,225.05
2015-06-03,00:00:00,225.17,225.4,224.61,225.4,190.05,42791.04,225.16
